id,artists,track_name,track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
80281,Blur,Tender,42cxPm9jgbaxIVN77XA1m6,59,461947,0.587,0.566,9,-9.932,1,0.0276,0.47,0.0,0.0644,0.529,76.054,4.0,Alternative
80372,Earl Sweatshirt,Off Top,0Tnv9pQJ1CZfqTpW15xOCL,45,106507,0.584,0.638,1,-5.945,1,0.289,0.103,0.0,0.161,0.379,75.992,4.0,Alternative
80431,Arcade Fire,Good God Damn,2ZssXuZfktUr4MMDzEWD2Z,51,214427,0.799,0.496,11,-8.304,0,0.0391,0.0927,0.00293,0.31,0.5,99.023,4.0,Alternative
80504,Earl Sweatshirt,Guild,7y6EHdn8KFJUD2F6zWNWhZ,45,233720,0.727,0.274,1,-15.7,1,0.457,0.331,7.73e-05,0.0961,0.168,108.031,4.0,Alternative
80549,Earl Sweatshirt,Centurion,6mrRJpEOqNEKygu4fesH1e,45,183960,0.348,0.796,7,-8.266,1,0.485,0.0655,0.0,0.279,0.573,166.224,4.0,Alternative
81151,Arcade Fire,Neighborhood #3 (Power Out),1kAZE1Wtwg8sd7lCyLUweb,49,312907,0.522,0.954,5,-5.018,1,0.0585,0.000543,0.0177,0.0975,0.642,119.87,4.0,Alternative
81533,Arcade Fire,We Don't Deserve Love,0BP2o4rGe7nkQea1JOWMbl,50,389080,0.492,0.628,0,-7.359,1,0.0283,0.117,0.0115,0.135,0.151,87.899,4.0,Alternative
81622,Arcade Fire,Signs of Life,1g1RmSl6D0I6m6MEtDvxYn,50,276613,0.65,0.858,2,-5.566,1,0.0458,0.00976,0.00173,0.687,0.762,113.123,4.0,Alternative
81800,Earl Sweatshirt,Grown Ups,0jEAMq8CdCWh7o0sQCZRON,43,177653,0.462,0.632,2,-7.397,1,0.339,0.209,0.00564,0.141,0.339,149.058,4.0,Alternative
81860,Arcade Fire,Rococo,13uyMAetJNWMWJamO4aynQ,47,236773,0.315,0.861,7,-5.292,1,0.0377,0.281,0.295,0.266,0.417,165.644,3.0,Alternative
84068,Blur,Ghost Ship,61JDaStnXY3vbaEjliB5WA,61,299133,0.803,0.722,2,-6.421,1,0.0377,0.0324,0.00264,0.0763,0.857,139.981,4.0,Dance
88582,Arcade Fire,Peter Pan,0LOnyr7dtH8GQAVypvT98T,52,168893,0.693,0.814,8,-6.689,1,0.0392,0.25,0.000644,0.676,0.869,149.69,4.0,Dance
88822,Arcade Fire,My Body Is a Cage,1rOlTL4pKQ9Y1fURua4AJR,54,287240,0.296,0.502,0,-8.653,0,0.0336,0.315,0.0551,0.229,0.313,81.045,4.0,Dance
89096,Arcade Fire,Chemistry,7kIwVGX93RF6c8ZLKpeiNN,52,217693,0.508,0.623,0,-6.919,1,0.0564,0.0336,0.0,0.208,0.785,173.778,4.0,Dance
89209,Arcade Fire,Crown of Love,3kusLGvgYkZldKfoDoJklR,50,282333,0.321,0.647,3,-6.514,1,0.0274,0.062,4.72e-05,0.288,0.287,104.345,,Dance
90849,Blur,Parklife - 2012 Remaster,7FSzJQV6thyoQptFCUTV9c,60,185093,0.627,0.891,4,-6.094,1,0.0676,0.121,0.0,0.281,0.722,138.79,4.0,Electronic
91057,Blur,Intermission,7c3NImFA23mDCifvAzSu0T,47,150284,0.353,0.87,10,-7.147,1,0.0643,0.197,0.327,0.123,0.453,92.113,3.0,Electronic
91223,Blur,For Tomorrow - 2012 Remastered Version,3rWlZxRCrBMcEL3QsSidr4,52,261240,0.631,0.84,2,-6.025,1,0.0285,0.0143,0.0,0.0712,0.653,95.849,4.0,Electronic
91266,Blur,Beetlebum - 2012 Remastered Version,4OHVCeQYPncEwZOtNAJZZx,53,305213,0.542,0.626,0,-7.105,1,0.0242,0.0789,0.000508,0.277,0.813,89.734,4.0,Electronic
